,Name,Age,Weight,Height,rank_position,slug_game,discipline_title,Sport
12240,Alise POST,25.0,58.0,158.0,2.0,rio-2016,Cycling BMX,Cycling BMX
12242,Brooke CRAIN,23.0,55.0,160.0,4.0,rio-2016,Cycling BMX,Cycling BMX
12243,Yaroslava BONDARENKO,19.0,62.0,158.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12244,Elke VANHOOF,24.0,60.0,163.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12245,Laura SMULDERS,22.0,73.0,170.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12246,Manon VALENTINO,25.0,64.0,172.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12247,Caroline BUCHANAN,25.0,68.0,165.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12249,Lauren REYNOLDS,25.0,69.0,176.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12250,Amanda CARR,26.0,60.0,165.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12251,Simone CHRISTENSEN,22.0,68.0,170.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12252,Nadja PRIES,22.0,56.0,161.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12255,Connor FIELDS,23.0,88.0,183.0,1.0,rio-2016,Cycling BMX,Cycling BMX
12258,Nicholas LONG,26.0,86.0,188.0,4.0,rio-2016,Cycling BMX,Cycling BMX
12260,Sam WILLOUGHBY,24.0,87.0,173.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12261,Niek KIMMANN,20.0,90.0,189.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12262,Anthony DEAN,25.0,87.0,175.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12263,Corben SHARRAH,24.0,85.0,183.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12266,Gonzalo MOLINA,21.0,83.0,178.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12267,Trent JONES,21.0,87.0,185.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12268,David GRAF,26.0,79.0,180.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12269,David GRAF,27.0,91.0,191.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12270,Luis BRETHAUER,23.0,82.0,176.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12275,Bodi TURNER,21.0,81.0,180.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12276,Kyle DODD,22.0,80.0,178.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12278,Joris DAUDET,25.0,78.0,184.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12280,Kyle EVANS,22.0,81.0,180.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12281,Niklas LAUSTSEN,23.0,95.0,189.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12282,Toni SYARIFUDIN,25.0,68.0,164.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12283,Amidou MIR,21.0,78.0,173.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12284,Renato REZENDE,25.0,72.0,171.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12285,Yoshitaku NAGASAKO,22.0,70.0,172.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12286,Liam PHILLIPS,27.0,85.0,181.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12289,Henrik STENSON,40.0,86.0,188.0,2.0,rio-2016,Golf,Golf
